cpu_percent,rss,vms,pfaults,pageins,time,iteration
8.1,23674880,420300865536,2107,168,2024-08-24 15:07:47,0
0.1,23773184,420311351296,2113,168,2024-08-24 15:07:48,1
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:49,2
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:50,3
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:51,4
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:52,5
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:53,6
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:54,7
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:55,8
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:56,9
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:57,10
0.1,23773184,420311351296,2113,168,2024-08-24 15:07:58,11
0.0,23773184,420311351296,2113,168,2024-08-24 15:07:59,12
0.0,23773184,420311351296,2113,168,2024-08-24 15:08:00,13
0.0,23773184,420311351296,2113,168,2024-08-24 15:08:01,14
0.0,23773184,420311351296,2113,168,2024-08-24 15:08:02,15
0.0,23773184,420311351296,2113,168,2024-08-24 15:08:03,16
0.0,23773184,420311351296,2113,168,2024-08-24 15:08:04,17
0.0,23773184,420311351296,2113,168,2024-08-24 15:08:05,18
0.0,23773184,420311351296,2113,168,2024-08-24 15:08:06,19
0.0,23773184,420311351296,2113,168,2024-08-24 15:08:07,20
